YEAR,HOMETEAM,Goals
1994,Russia,6
1994,Romania,6
1994,Argentina,6
1994,Brazil,7
1994,Bulgaria,7
1994,Sweden,7
1994,Germany,8
1998,Paraguay,0
1998,Saudi Arabia,0
1998,Korea Republic,1
1998,Cameroon,1
1998,Scotland,1
1998,Yugoslavia,1
1998,Colombia,1
1998,USA,1
1998,Japan,1
1998,Jamaica,1
1998,England,2
1998,Chile,2
1998,Morocco,2
1998,Nigeria,3
1998,Belgium,3
1998,South Africa,3
1998,Romania,4
1998,Germany,8
1998,Spain,8
1998,Italy,8
1998,Argentina,9
1998,France,12
1998,Netherlands,12
1998,Brazil,14
2002,Croatia,0
2002,Nigeria,0
2002,Saudi Arabia,0
2002,China PR,0
2002,France,0
2002,Republic of Ireland,1
2002,Ecuador,1
2002,Tunisia,1
2002,Cameroon,1
2002,Uruguay,1
2002,Slovenia,1
2002,Argentina,1
2002,Russia,2
2002,Paraguay,2
2002,England,2
2002,South Africa,3
2002,Japan,3
2002,Senegal,3
2002,Belgium,3
2002,Turkey,3
2002,Denmark,3
2002,Mexico,3
2002,Costa Rica,3
2002,USA,3
2002,Italy,3
2002,Poland,3
2002,Sweden,4
2002,Portugal,4
2002,Korea Republic,7
2002,Spain,7
2002,Brazil,9
2002,Germany,12
2006,Angola,0
2006,Togo,0
2006,Serbia and Montenegro,0
2006,USA,0
2006,Czech Republic,0
2006,Poland,0
2006,Trinidad and Tobago,0
2006,Saudi Arabia,0
2006,Ukraine,1
2006,Costa Rica,1
2006,France,1
2006,Iran,1
2006,Japan,1
2006,Netherlands,2
2006,Paraguay,2
2006,Switzerland,2
2006,Korea Republic,2
2006,Ghana,2
2006,Tunisia,2
2006,Croatia,2
2006,Sweden,3
2006,Mexico,3
2006,CÔTE D'IVOIRE,3
2006,Australia,3
2006,Ecuador,3
2006,England,4
2006,Portugal,5
2006,Brazil,6
2006,Spain,8
2006,Italy,8
2006,Argentina,10
2006,Germany,11
2010,Algeria,0
2010,CÔTE D'IVOIRE,0
2010,Switzerland,0
2010,Paraguay,0
2010,Korea DPR,0
2010,Serbia,0
2010,Mexico,0
2010,Honduras,0
2010,England,1
2010,Japan,1
2010,New Zealand,1
2010,Ghana,1
2010,South Africa,1
2010,France,1
2010,Denmark,1
2010,Nigeria,2
2010,Korea Republic,2
2010,USA,2
2010,Italy,2
2010,Greece,2
2010,Slovenia,2
2010,Cameroon,2
2010,Chile,2
2010,Australia,2
2010,Spain,3
2010,Slovakia,3
2010,Portugal,7
2010,Netherlands,7
2010,Uruguay,7
2010,Argentina,8
2010,Brazil,8
2010,Germany,8
2014,Italy,0
2014,IR Iran,0
2014,Ecuador,0
2014,Japan,1
2014,Cameroon,1
2014,Croatia,1
2014,Mexico,1
2014,Algeria,1
2014,Russia,1
2014,Ghana,1
2014,Honduras,1
2014,England,1
2014,Spain,1
2014,Costa Rica,2
2014,Greece,2
2014,Portugal,2
2014,CÔTE D'IVOIRE,2
2014,Korea Republic,2
2014,USA,2
2014,Australia,2
2014,Bosnia and Herzegovina,3
2014,Uruguay,3
2014,Chile,3
2014,Nigeria,3
2014,Switzerland,4
2014,Netherlands,6
2014,Argentina,7
2014,France,7
2014,Belgium,7
2014,Colombia,9
2014,Brazil,11
2014,Germany,12
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
